CODICE;Geo Point;Geo Shape
16235;44.48870130788878, 11.310743787353967;"{""coordinates"": [11.310743787353967, 44.48870130788878], ""type"": ""Point""}"
16239;44.48378973416907, 11.314866423351415;"{""coordinates"": [11.314866423351415, 44.48378973416907], ""type"": ""Point""}"
16240;44.48370636245928, 11.315097200742345;"{""coordinates"": [11.315097200742345, 44.48370636245928], ""type"": ""Point""}"
17466;44.537771079536725, 11.27204125198787;"{""coordinates"": [11.27204125198787, 44.537771079536725], ""type"": ""Point""}"
17467;44.53501799134787, 11.273998265696349;"{""coordinates"": [11.273998265696349, 44.53501799134787], ""type"": ""Point""}"
10341;44.516927167645896, 11.336180265139074;"{""coordinates"": [11.336180265139074, 44.516927167645896], ""type"": ""Point""}"
17084;44.514769560462085, 11.30226487076579;"{""coordinates"": [11.30226487076579, 44.514769560462085], ""type"": ""Point""}"
17090;44.518650197373596, 11.296549794684953;"{""coordinates"": [11.296549794684953, 44.518650197373596], ""type"": ""Point""}"
17093;44.54114114804954, 11.35666762201267;"{""coordinates"": [11.35666762201267, 44.54114114804954], ""type"": ""Point""}"
17094;44.541256572885224, 11.35659114078747;"{""coordinates"": [11.35659114078747, 44.541256572885224], ""type"": ""Point""}"
17095;44.541584749860775, 11.356118437005657;"{""coordinates"": [11.356118437005657, 44.541584749860775], ""type"": ""Point""}"
16284;44.481748910468575, 11.337691961040695;"{""coordinates"": [11.337691961040695, 44.481748910468575], ""type"": ""Point""}"
16287;44.480561805089835, 11.33683387387802;"{""coordinates"": [11.33683387387802, 44.480561805089835], ""type"": ""Point""}"
16454;44.4710222774969, 11.368636524609654;"{""coordinates"": [11.368636524609654, 44.4710222774969], ""type"": ""Point""}"
16456;44.47149741205278, 11.367777126712465;"{""coordinates"": [11.367777126712465, 44.47149741205278], ""type"": ""Point""}"
16457;44.471385632763706, 11.368074121142524;"{""coordinates"": [11.368074121142524, 44.471385632763706], ""type"": ""Point""}"
16462;44.47365657152263, 11.36683117155728;"{""coordinates"": [11.36683117155728, 44.47365657152263], ""type"": ""Point""}"
16466;44.46525994264279, 11.369434011663099;"{""coordinates"": [11.369434011663099, 44.46525994264279], ""type"": ""Point""}"
16468;44.45930247720127, 11.371025559495893;"{""coordinates"": [11.371025559495893, 44.45930247720127], ""type"": ""Point""}"
16471;44.45679690402246, 11.37086116068758;"{""coordinates"": [11.37086116068758, 44.45679690402246], ""type"": ""Point""}"
16477;44.471076472945896, 11.371304638079568;"{""coordinates"": [11.371304638079568, 44.471076472945896], ""type"": ""Point""}"
16482;44.458271372038304, 11.369885258771921;"{""coordinates"": [11.369885258771921, 44.458271372038304], ""type"": ""Point""}"
16485;44.454869543427975, 11.367734041824384;"{""coordinates"": [11.367734041824384, 44.454869543427975], ""type"": ""Point""}"
16486;44.45521570429898, 11.36897460901869;"{""coordinates"": [11.36897460901869, 44.45521570429898], ""type"": ""Point""}"
16489;44.45197617624051, 11.365346532258988;"{""coordinates"": [11.365346532258988, 44.45197617624051], ""type"": ""Point""}"
16289;44.47622519668742, 11.335976528042165;"{""coordinates"": [11.335976528042165, 44.47622519668742], ""type"": ""Point""}"
16290;44.47622858785446, 11.33646758936763;"{""coordinates"": [11.33646758936763, 44.47622858785446], ""type"": ""Point""}"
16291;44.47642049527134, 11.336450933877401;"{""coordinates"": [11.336450933877401, 44.47642049527134], ""type"": ""Point""}"
16293;44.477400075077036, 11.335918799747988;"{""coordinates"": [11.335918799747988, 44.477400075077036], ""type"": ""Point""}"
16296;44.4760913747331, 11.335964119890852;"{""coordinates"": [11.335964119890852, 44.4760913747331], ""type"": ""Point""}"
16298;44.475490600297725, 11.336150808313112;"{""coordinates"": [11.336150808313112, 44.475490600297725], ""type"": ""Point""}"
16300;44.4744326755619, 11.336875271127;"{""coordinates"": [11.336875271127, 44.4744326755619], ""type"": ""Point""}"
16301;44.47279946555983, 11.336115267578306;"{""coordinates"": [11.336115267578306, 44.47279946555983], ""type"": ""Point""}"
15502;44.502045554043825, 11.290984656407243;"{""coordinates"": [11.290984656407243, 44.502045554043825], ""type"": ""Point""}"
15523;44.49192052195655, 11.341827596402732;"{""coordinates"": [11.341827596402732, 44.49192052195655], ""type"": ""Point""}"
15524;44.49199508148726, 11.342250592344865;"{""coordinates"": [11.342250592344865, 44.49199508148726], ""type"": ""Point""}"
15529;44.493434584597, 11.321819792996171;"{""coordinates"": [11.321819792996171, 44.493434584597], ""type"": ""Point""}"
15547;44.50673217162541, 11.396844542838659;"{""coordinates"": [11.396844542838659, 44.50673217162541], ""type"": ""Point""}"
15549;44.50937419534188, 11.412886958173917;"{""coordinates"": [11.412886958173917, 44.50937419534188], ""type"": ""Point""}"
6411;44.48292847632365, 11.376104920920806;"{""coordinates"": [11.376104920920806, 44.48292847632365], ""type"": ""Point""}"
16491;44.465751684335146, 11.370781617971067;"{""coordinates"": [11.370781617971067, 44.465751684335146], ""type"": ""Point""}"
16497;44.46086406923683, 11.370424477357107;"{""coordinates"": [11.370424477357107, 44.46086406923683], ""type"": ""Point""}"
16498;44.460914642205104, 11.369983268733389;"{""coordinates"": [11.369983268733389, 44.460914642205104], ""type"": ""Point""}"
16500;44.46011356785761, 11.370273910580671;"{""coordinates"": [11.370273910580671, 44.46011356785761], ""type"": ""Point""}"
16506;44.453072828006704, 11.364745785060258;"{""coordinates"": [11.364745785060258, 44.453072828006704], ""type"": ""Point""}"
16508;44.452637332960464, 11.362787649961048;"{""coordinates"": [11.362787649961048, 44.452637332960464], ""type"": ""Point""}"
13910;44.49375641435166, 11.324335365492423;"{""coordinates"": [11.324335365492423, 44.49375641435166], ""type"": ""Point""}"
13914;44.49215285012801, 11.321196930421833;"{""coordinates"": [11.321196930421833, 44.49215285012801], ""type"": ""Point""}"
13919;44.50279450866462, 11.333054926167149;"{""coordinates"": [11.333054926167149, 44.50279450866462], ""type"": ""Point""}"
13923;44.507614815196234, 11.35620038149014;"{""coordinates"": [11.35620038149014, 44.507614815196234], ""type"": ""Point""}"
13927;44.50152208597449, 11.35731479006082;"{""coordinates"": [11.35731479006082, 44.50152208597449], ""type"": ""Point""}"
14511;44.52334249028386, 11.331600644074577;"{""coordinates"": [11.331600644074577, 44.52334249028386], ""type"": ""Point""}"
14512;44.52384743358766, 11.331568496911181;"{""coordinates"": [11.331568496911181, 44.52384743358766], ""type"": ""Point""}"
14513;44.52515569828729, 11.331518852749728;"{""coordinates"": [11.331518852749728, 44.52515569828729], ""type"": ""Point""}"
11210;44.53882354986063, 11.39301916501707;"{""coordinates"": [11.39301916501707, 44.53882354986063], ""type"": ""Point""}"
11232;44.539994177165525, 11.41485096405563;"{""coordinates"": [11.41485096405563, 44.539994177165525], ""type"": ""Point""}"
15427;44.55326211726906, 11.344000026524476;"{""coordinates"": [11.344000026524476, 44.55326211726906], ""type"": ""Point""}"
15135;44.55225906880529, 11.350037435570133;"{""coordinates"": [11.350037435570133, 44.55225906880529], ""type"": ""Point""}"
10761;44.521274309200976, 11.362706783736277;"{""coordinates"": [11.362706783736277, 44.521274309200976], ""type"": ""Point""}"
