CODICE;Geo Point;Geo Shape
6578;44.4918476320535, 11.370713658830905;"{""coordinates"": [11.370713658830905, 44.4918476320535], ""type"": ""Point""}"
6562;44.49078159820869, 11.36607394912432;"{""coordinates"": [11.36607394912432, 44.49078159820869], ""type"": ""Point""}"
6568;44.48895739432472, 11.371364342464604;"{""coordinates"": [11.371364342464604, 44.48895739432472], ""type"": ""Point""}"
6357;44.48853009653272, 11.357778749742224;"{""coordinates"": [11.357778749742224, 44.48853009653272], ""type"": ""Point""}"
6358;44.48738714535567, 11.35791474519683;"{""coordinates"": [11.35791474519683, 44.48738714535567], ""type"": ""Point""}"
6300;44.48532111973231, 11.36037477622595;"{""coordinates"": [11.36037477622595, 44.48532111973231], ""type"": ""Point""}"
6373;44.48797828258719, 11.362854175808131;"{""coordinates"": [11.362854175808131, 44.48797828258719], ""type"": ""Point""}"
6369;44.48545684139006, 11.365569816645598;"{""coordinates"": [11.365569816645598, 44.48545684139006], ""type"": ""Point""}"
6362;44.484490362249545, 11.362533646421813;"{""coordinates"": [11.362533646421813, 44.484490362249545], ""type"": ""Point""}"
8711;44.512237979128805, 11.287590908835591;"{""coordinates"": [11.287590908835591, 44.512237979128805], ""type"": ""Point""}"
8718;44.51686402058847, 11.276763492290065;"{""coordinates"": [11.276763492290065, 44.51686402058847], ""type"": ""Point""}"
8713;44.5162863101463, 11.281589446427581;"{""coordinates"": [11.281589446427581, 44.5162863101463], ""type"": ""Point""}"
6490;44.49059136990083, 11.355921448181618;"{""coordinates"": [11.355921448181618, 44.49059136990083], ""type"": ""Point""}"
6480;44.490911401436804, 11.355098684767333;"{""coordinates"": [11.355098684767333, 44.490911401436804], ""type"": ""Point""}"
6297;44.48919028868684, 11.363080500203314;"{""coordinates"": [11.363080500203314, 44.48919028868684], ""type"": ""Point""}"
6496;44.49278969902428, 11.361815266135538;"{""coordinates"": [11.361815266135538, 44.49278969902428], ""type"": ""Point""}"
6493;44.49224105315523, 11.364940894892925;"{""coordinates"": [11.364940894892925, 44.49224105315523], ""type"": ""Point""}"
17230;44.526278111555726, 11.331232627595702;"{""coordinates"": [11.331232627595702, 44.526278111555726], ""type"": ""Point""}"
17231;44.526342786337686, 11.331599339684496;"{""coordinates"": [11.331599339684496, 44.526342786337686], ""type"": ""Point""}"
17235;44.483127854005815, 11.37558686201572;"{""coordinates"": [11.37558686201572, 44.483127854005815], ""type"": ""Point""}"
17236;44.48624334571671, 11.375208733558877;"{""coordinates"": [11.375208733558877, 44.48624334571671], ""type"": ""Point""}"
17239;44.525678384675096, 11.327007674732675;"{""coordinates"": [11.327007674732675, 44.525678384675096], ""type"": ""Point""}"
17244;44.487872395066056, 11.361843139272736;"{""coordinates"": [11.361843139272736, 44.487872395066056], ""type"": ""Point""}"
17252;44.49338528182279, 11.287805568946935;"{""coordinates"": [11.287805568946935, 44.49338528182279], ""type"": ""Point""}"
17254;44.49576428884342, 11.373962433492775;"{""coordinates"": [11.373962433492775, 44.49576428884342], ""type"": ""Point""}"
17260;44.517421398394276, 11.374556308504614;"{""coordinates"": [11.374556308504614, 44.517421398394276], ""type"": ""Point""}"
17268;44.525645701149266, 11.29761289300478;"{""coordinates"": [11.29761289300478, 44.525645701149266], ""type"": ""Point""}"
17269;44.52546321613869, 11.296661493178215;"{""coordinates"": [11.296661493178215, 44.52546321613869], ""type"": ""Point""}"
6191;44.49744882494048, 11.344832324825697;"{""coordinates"": [11.344832324825697, 44.49744882494048], ""type"": ""Point""}"
6197;44.495812131010396, 11.34512276575225;"{""coordinates"": [11.34512276575225, 44.495812131010396], ""type"": ""Point""}"
6076;44.49309616054164, 11.34547588669711;"{""coordinates"": [11.34547588669711, 44.49309616054164], ""type"": ""Point""}"
6228;44.49372718832567, 11.347707625682153;"{""coordinates"": [11.347707625682153, 44.49372718832567], ""type"": ""Point""}"
6220;44.494299253272544, 11.346186645948247;"{""coordinates"": [11.346186645948247, 44.494299253272544], ""type"": ""Point""}"
6233;44.494705900567844, 11.346932009660923;"{""coordinates"": [11.346932009660923, 44.494705900567844], ""type"": ""Point""}"
6225;44.4944910937022, 11.348432838282248;"{""coordinates"": [11.348432838282248, 44.4944910937022], ""type"": ""Point""}"
6235;44.49546792278304, 11.346709625945309;"{""coordinates"": [11.346709625945309, 44.49546792278304], ""type"": ""Point""}"
6216;44.495091954418676, 11.347504003460955;"{""coordinates"": [11.347504003460955, 44.495091954418676], ""type"": ""Point""}"
15291;44.49138249476713, 11.343114620079998;"{""coordinates"": [11.343114620079998, 44.49138249476713], ""type"": ""Point""}"
6067;44.49237807702329, 11.342471352487868;"{""coordinates"": [11.342471352487868, 44.49237807702329], ""type"": ""Point""}"
6094;44.49255639505042, 11.344512939918959;"{""coordinates"": [11.344512939918959, 44.49255639505042], ""type"": ""Point""}"
6081;44.492098518470236, 11.34418134106596;"{""coordinates"": [11.34418134106596, 44.492098518470236], ""type"": ""Point""}"
6084;44.49146467368743, 11.344963288424003;"{""coordinates"": [11.344963288424003, 44.49146467368743], ""type"": ""Point""}"
6085;44.492048813929785, 11.345604003089814;"{""coordinates"": [11.345604003089814, 44.492048813929785], ""type"": ""Point""}"
6077;44.49205997860552, 11.345140344572775;"{""coordinates"": [11.345140344572775, 44.49205997860552], ""type"": ""Point""}"
6088;44.493230429861185, 11.343642580834437;"{""coordinates"": [11.343642580834437, 44.493230429861185], ""type"": ""Point""}"
6068;44.493160970316445, 11.342664314469056;"{""coordinates"": [11.342664314469056, 44.493160970316445], ""type"": ""Point""}"
123;44.491699303465865, 11.341081790435457;"{""coordinates"": [11.341081790435457, 44.491699303465865], ""type"": ""Point""}"
6072;44.492982078472444, 11.34636610844946;"{""coordinates"": [11.34636610844946, 44.492982078472444], ""type"": ""Point""}"
6116;44.48902560665361, 11.347414229852989;"{""coordinates"": [11.347414229852989, 44.48902560665361], ""type"": ""Point""}"
6121;44.49096874468558, 11.346545002144333;"{""coordinates"": [11.346545002144333, 44.49096874468558], ""type"": ""Point""}"
6063;44.49045292079109, 11.345486351670955;"{""coordinates"": [11.345486351670955, 44.49045292079109], ""type"": ""Point""}"
6114;44.49036126872495, 11.34990298357434;"{""coordinates"": [11.34990298357434, 44.49036126872495], ""type"": ""Point""}"
6129;44.49151055593496, 11.345873548215287;"{""coordinates"": [11.345873548215287, 44.49151055593496], ""type"": ""Point""}"
6106;44.49125615901374, 11.348867310299024;"{""coordinates"": [11.348867310299024, 44.49125615901374], ""type"": ""Point""}"
6113;44.492354753502134, 11.351334514017397;"{""coordinates"": [11.351334514017397, 44.492354753502134], ""type"": ""Point""}"
6135;44.49174548038592, 11.350468782514996;"{""coordinates"": [11.350468782514996, 44.49174548038592], ""type"": ""Point""}"
5988;44.488961224102304, 11.346294333833672;"{""coordinates"": [11.346294333833672, 44.488961224102304], ""type"": ""Point""}"
6123;44.48999782339092, 11.352421602695246;"{""coordinates"": [11.352421602695246, 44.48999782339092], ""type"": ""Point""}"
6140;44.4938082984679, 11.351877448063524;"{""coordinates"": [11.351877448063524, 44.4938082984679], ""type"": ""Point""}"
6136;44.49356151938918, 11.351818032154833;"{""coordinates"": [11.351818032154833, 44.49356151938918], ""type"": ""Point""}"
15092;44.49304848264332, 11.340553768676312;"{""coordinates"": [11.340553768676312, 44.49304848264332], ""type"": ""Point""}"
149;44.49392773061925, 11.340777618141193;"{""coordinates"": [11.340777618141193, 44.49392773061925], ""type"": ""Point""}"
6786;44.475683103951155, 11.385407506788853;"{""coordinates"": [11.385407506788853, 44.475683103951155], ""type"": ""Point""}"
6787;44.47492778471915, 11.385389015817866;"{""coordinates"": [11.385389015817866, 44.47492778471915], ""type"": ""Point""}"
6801;44.474509384527515, 11.387522533441334;"{""coordinates"": [11.387522533441334, 44.474509384527515], ""type"": ""Point""}"
6775;44.47546820500714, 11.388227140475271;"{""coordinates"": [11.388227140475271, 44.47546820500714], ""type"": ""Point""}"
6808;44.476336080397104, 11.383901782779432;"{""coordinates"": [11.383901782779432, 44.476336080397104], ""type"": ""Point""}"
6798;44.47627862129479, 11.389199340967274;"{""coordinates"": [11.389199340967274, 44.47627862129479], ""type"": ""Point""}"
6811;44.477558619762995, 11.39022457334335;"{""coordinates"": [11.39022457334335, 44.477558619762995], ""type"": ""Point""}"
15814;44.47563592740373, 11.390432113640534;"{""coordinates"": [11.390432113640534, 44.47563592740373], ""type"": ""Point""}"
6456;44.48704126655287, 11.367644372194277;"{""coordinates"": [11.367644372194277, 44.48704126655287], ""type"": ""Point""}"
6436;44.485617527490575, 11.369123874237351;"{""coordinates"": [11.369123874237351, 44.485617527490575], ""type"": ""Point""}"
6439;44.48752490298592, 11.370416349107952;"{""coordinates"": [11.370416349107952, 44.48752490298592], ""type"": ""Point""}"
6437;44.484428297123124, 11.368300264256431;"{""coordinates"": [11.368300264256431, 44.484428297123124], ""type"": ""Point""}"
6443;44.48817490047071, 11.368333505244498;"{""coordinates"": [11.368333505244498, 44.48817490047071], ""type"": ""Point""}"
17736;44.49272181363876, 11.272660304059938;"{""coordinates"": [11.272660304059938, 44.49272181363876], ""type"": ""Point""}"
17690;44.47689614571087, 11.30763657930912;"{""coordinates"": [11.30763657930912, 44.47689614571087], ""type"": ""Point""}"
17846;44.45305055634783, 11.369639377736792;"{""coordinates"": [11.369639377736792, 44.45305055634783], ""type"": ""Point""}"
18086;44.49222899317571, 11.364127121784712;"{""coordinates"": [11.364127121784712, 44.49222899317571], ""type"": ""Point""}"
17799;44.512180717741565, 11.330279298255386;"{""coordinates"": [11.330279298255386, 44.512180717741565], ""type"": ""Point""}"
17883;44.50160824044711, 11.354744789713179;"{""coordinates"": [11.354744789713179, 44.50160824044711], ""type"": ""Point""}"
17884;44.501757498489624, 11.355209323604724;"{""coordinates"": [11.355209323604724, 44.501757498489624], ""type"": ""Point""}"
18017;44.514495017067105, 11.336203662466902;"{""coordinates"": [11.336203662466902, 44.514495017067105], ""type"": ""Point""}"
18063;44.51244324244731, 11.372852950813755;"{""coordinates"": [11.372852950813755, 44.51244324244731], ""type"": ""Point""}"
17870;44.49750239690981, 11.398018597249234;"{""coordinates"": [11.398018597249234, 44.49750239690981], ""type"": ""Point""}"
17984;44.52929485102419, 11.361986965435195;"{""coordinates"": [11.361986965435195, 44.52929485102419], ""type"": ""Point""}"
18076;44.498643833524966, 11.332702549037759;"{""coordinates"": [11.332702549037759, 44.498643833524966], ""type"": ""Point""}"
18077;44.4987561999779, 11.332627837333204;"{""coordinates"": [11.332627837333204, 44.4987561999779], ""type"": ""Point""}"
18078;44.49872931103788, 11.332472225211632;"{""coordinates"": [11.332472225211632, 44.49872931103788], ""type"": ""Point""}"
17966;44.50454437196898, 11.398349678117885;"{""coordinates"": [11.398349678117885, 44.50454437196898], ""type"": ""Point""}"
17748;44.50464879683088, 11.346308831356266;"{""coordinates"": [11.346308831356266, 44.50464879683088], ""type"": ""Point""}"
17879;44.50552381727638, 11.33649924689966;"{""coordinates"": [11.33649924689966, 44.50552381727638], ""type"": ""Point""}"
17768;44.50374986479633, 11.368150066112193;"{""coordinates"": [11.368150066112193, 44.50374986479633], ""type"": ""Point""}"
17894;44.462120500942454, 11.360932559726065;"{""coordinates"": [11.360932559726065, 44.462120500942454], ""type"": ""Point""}"
18019;44.51454444822526, 11.336916705078295;"{""coordinates"": [11.336916705078295, 44.51454444822526], ""type"": ""Point""}"
17809;44.50492435204202, 11.338573567380811;"{""coordinates"": [11.338573567380811, 44.50492435204202], ""type"": ""Point""}"
17852;44.50850146136726, 11.357988724666845;"{""coordinates"": [11.357988724666845, 44.50850146136726], ""type"": ""Point""}"
17872;44.48518176095123, 11.370270310691064;"{""coordinates"": [11.370270310691064, 44.48518176095123], ""type"": ""Point""}"
17900;44.523378156458215, 11.423667090314195;"{""coordinates"": [11.423667090314195, 44.523378156458215], ""type"": ""Point""}"
18002;44.43025713851195, 11.318475591035725;"{""coordinates"": [11.318475591035725, 44.43025713851195], ""type"": ""Point""}"
18021;44.507036389746204, 11.418612421730254;"{""coordinates"": [11.418612421730254, 44.507036389746204], ""type"": ""Point""}"
18057;44.48344846669992, 11.375867443131263;"{""coordinates"": [11.375867443131263, 44.48344846669992], ""type"": ""Point""}"
18058;44.4834065802842, 11.376215055953256;"{""coordinates"": [11.376215055953256, 44.4834065802842], ""type"": ""Point""}"
17923;44.53192079762891, 11.316319794631834;"{""coordinates"": [11.316319794631834, 44.53192079762891], ""type"": ""Point""}"
18048;44.515723421371256, 11.272520196259528;"{""coordinates"": [11.272520196259528, 44.515723421371256], ""type"": ""Point""}"
18052;44.53140897124997, 11.367215100397521;"{""coordinates"": [11.367215100397521, 44.53140897124997], ""type"": ""Point""}"
17277;44.52372329014248, 11.298365423999831;"{""coordinates"": [11.298365423999831, 44.52372329014248], ""type"": ""Point""}"
17279;44.5233349659037, 11.29615233492169;"{""coordinates"": [11.29615233492169, 44.5233349659037], ""type"": ""Point""}"
17009;44.50363613480775, 11.35310055034867;"{""coordinates"": [11.35310055034867, 44.50363613480775], ""type"": ""Point""}"
17010;44.485494308755754, 11.389650537280655;"{""coordinates"": [11.389650537280655, 44.485494308755754], ""type"": ""Point""}"
17011;44.488439436552355, 11.391456336298239;"{""coordinates"": [11.391456336298239, 44.488439436552355], ""type"": ""Point""}"
17013;44.497683238141406, 11.33082777578319;"{""coordinates"": [11.33082777578319, 44.497683238141406], ""type"": ""Point""}"
17015;44.51071862530059, 11.36306865580502;"{""coordinates"": [11.36306865580502, 44.51071862530059], ""type"": ""Point""}"
17017;44.50365660256391, 11.30342679844002;"{""coordinates"": [11.30342679844002, 44.50365660256391], ""type"": ""Point""}"
17021;44.47941298734965, 11.324625546313813;"{""coordinates"": [11.324625546313813, 44.47941298734965], ""type"": ""Point""}"
17474;44.49175390311896, 11.39652536909966;"{""coordinates"": [11.39652536909966, 44.49175390311896], ""type"": ""Point""}"
17475;44.49846861152878, 11.359916784611688;"{""coordinates"": [11.359916784611688, 44.49846861152878], ""type"": ""Point""}"
17478;44.50501088520113, 11.34359802620302;"{""coordinates"": [11.34359802620302, 44.50501088520113], ""type"": ""Point""}"
17479;44.50516971239151, 11.342694351575044;"{""coordinates"": [11.342694351575044, 44.50516971239151], ""type"": ""Point""}"
17488;44.5317401480908, 11.351077794769477;"{""coordinates"": [11.351077794769477, 44.5317401480908], ""type"": ""Point""}"
10747;44.53272608978513, 11.35146448743778;"{""coordinates"": [11.35146448743778, 44.53272608978513], ""type"": ""Point""}"
17491;44.53272765716348, 11.350597223357417;"{""coordinates"": [11.350597223357417, 44.53272765716348], ""type"": ""Point""}"
14882;44.49371002549713, 11.32518228415478;"{""coordinates"": [11.32518228415478, 44.49371002549713], ""type"": ""Point""}"
14883;44.49348415768577, 11.325244253390627;"{""coordinates"": [11.325244253390627, 44.49348415768577], ""type"": ""Point""}"
6179;44.49710485004683, 11.342625229547924;"{""coordinates"": [11.342625229547924, 44.49710485004683], ""type"": ""Point""}"
6143;44.49541666579216, 11.342727101844739;"{""coordinates"": [11.342727101844739, 44.49541666579216], ""type"": ""Point""}"
6202;44.495955485819536, 11.344914715256808;"{""coordinates"": [11.344914715256808, 44.495955485819536], ""type"": ""Point""}"
6208;44.49703719572701, 11.343184045070785;"{""coordinates"": [11.343184045070785, 44.49703719572701], ""type"": ""Point""}"
13555;44.495793393555225, 11.339125666196457;"{""coordinates"": [11.339125666196457, 44.495793393555225], ""type"": ""Point""}"
181;44.497753788624856, 11.339559168088925;"{""coordinates"": [11.339559168088925, 44.497753788624856], ""type"": ""Point""}"
169;44.49739053811583, 11.339452248107856;"{""coordinates"": [11.339452248107856, 44.49739053811583], ""type"": ""Point""}"
13526;44.49661841799836, 11.341613184417765;"{""coordinates"": [11.341613184417765, 44.49661841799836], ""type"": ""Point""}"
13635;44.49645798493288, 11.342518754290182;"{""coordinates"": [11.342518754290182, 44.49645798493288], ""type"": ""Point""}"
13634;44.49806321472793, 11.34104259945975;"{""coordinates"": [11.34104259945975, 44.49806321472793], ""type"": ""Point""}"
6181;44.49769053232629, 11.34250452022108;"{""coordinates"": [11.34250452022108, 44.49769053232629], ""type"": ""Point""}"
6256;44.493114406190955, 11.34927960143696;"{""coordinates"": [11.34927960143696, 44.493114406190955], ""type"": ""Point""}"
6128;44.4931429978184, 11.349209637881252;"{""coordinates"": [11.349209637881252, 44.4931429978184], ""type"": ""Point""}"
6254;44.49387608707443, 11.349926530634786;"{""coordinates"": [11.349926530634786, 44.49387608707443], ""type"": ""Point""}"
6217;44.49445691555163, 11.349207037157791;"{""coordinates"": [11.349207037157791, 44.49445691555163], ""type"": ""Point""}"
6247;44.49439030126638, 11.349936803289182;"{""coordinates"": [11.349936803289182, 44.49439030126638], ""type"": ""Point""}"
6245;44.49428073274998, 11.350795886665052;"{""coordinates"": [11.350795886665052, 44.49428073274998], ""type"": ""Point""}"
16691;44.486832783683205, 11.353439637895855;"{""coordinates"": [11.353439637895855, 44.486832783683205], ""type"": ""Point""}"
6365;44.489372568711026, 11.366175944132811;"{""coordinates"": [11.366175944132811, 44.489372568711026], ""type"": ""Point""}"
6387;44.48038338895513, 11.36614072946277;"{""coordinates"": [11.36614072946277, 44.48038338895513], ""type"": ""Point""}"
6391;44.480384665762905, 11.366590723585661;"{""coordinates"": [11.366590723585661, 44.480384665762905], ""type"": ""Point""}"
6388;44.480401096417765, 11.36558866823049;"{""coordinates"": [11.36558866823049, 44.480401096417765], ""type"": ""Point""}"
6382;44.47979075633305, 11.36704571221805;"{""coordinates"": [11.36704571221805, 44.47979075633305], ""type"": ""Point""}"
6393;44.48116981715481, 11.366113506810931;"{""coordinates"": [11.366113506810931, 44.48116981715481], ""type"": ""Point""}"
6587;44.49023814387081, 11.373592696693523;"{""coordinates"": [11.373592696693523, 44.49023814387081], ""type"": ""Point""}"
6597;44.49185398695887, 11.374540008127187;"{""coordinates"": [11.374540008127187, 44.49185398695887], ""type"": ""Point""}"
15428;44.48988060443313, 11.375038417887934;"{""coordinates"": [11.375038417887934, 44.48988060443313], ""type"": ""Point""}"
6584;44.49099407483432, 11.377245689161645;"{""coordinates"": [11.377245689161645, 44.49099407483432], ""type"": ""Point""}"
6593;44.489813769883675, 11.377818548199937;"{""coordinates"": [11.377818548199937, 44.489813769883675], ""type"": ""Point""}"
6601;44.493357857475736, 11.373066882433639;"{""coordinates"": [11.373066882433639, 44.493357857475736], ""type"": ""Point""}"
6603;44.49311099844775, 11.377067045552614;"{""coordinates"": [11.377067045552614, 44.49311099844775], ""type"": ""Point""}"
6273;44.497202984025144, 11.34610946562001;"{""coordinates"": [11.34610946562001, 44.497202984025144], ""type"": ""Point""}"
6267;44.49635758114887, 11.34689548284338;"{""coordinates"": [11.34689548284338, 44.49635758114887], ""type"": ""Point""}"
6275;44.496885975715784, 11.347181986146104;"{""coordinates"": [11.347181986146104, 44.496885975715784], ""type"": ""Point""}"
6258;44.497461705626314, 11.348043635178337;"{""coordinates"": [11.348043635178337, 44.497461705626314], ""type"": ""Point""}"
6276;44.4974247728813, 11.347592116089166;"{""coordinates"": [11.347592116089166, 44.4974247728813], ""type"": ""Point""}"
6287;44.495572597463024, 11.348811504933884;"{""coordinates"": [11.348811504933884, 44.495572597463024], ""type"": ""Point""}"
6282;44.49617186443926, 11.350396522894021;"{""coordinates"": [11.350396522894021, 44.49617186443926], ""type"": ""Point""}"
6244;44.49603329609738, 11.350563132727505;"{""coordinates"": [11.350563132727505, 44.49603329609738], ""type"": ""Point""}"
6289;44.496144038883905, 11.350841078794321;"{""coordinates"": [11.350841078794321, 44.496144038883905], ""type"": ""Point""}"
6288;44.49617311966411, 11.351986891528075;"{""coordinates"": [11.351986891528075, 44.49617311966411], ""type"": ""Point""}"
16558;44.49498296455898, 11.352376402706623;"{""coordinates"": [11.352376402706623, 44.49498296455898], ""type"": ""Point""}"
6251;44.495818017480566, 11.352890517753634;"{""coordinates"": [11.352890517753634, 44.495818017480566], ""type"": ""Point""}"
6264;44.49687788631031, 11.349362943258656;"{""coordinates"": [11.349362943258656, 44.49687788631031], ""type"": ""Point""}"
16805;44.48120466835025, 11.3565836513646;"{""coordinates"": [11.3565836513646, 44.48120466835025], ""type"": ""Point""}"
6315;44.480800656137575, 11.356088323212772;"{""coordinates"": [11.356088323212772, 44.480800656137575], ""type"": ""Point""}"
6312;44.480140819723765, 11.357124449546511;"{""coordinates"": [11.357124449546511, 44.480140819723765], ""type"": ""Point""}"
6313;44.47985553095262, 11.35464698422097;"{""coordinates"": [11.35464698422097, 44.47985553095262], ""type"": ""Point""}"
6327;44.47974076830622, 11.35968114641766;"{""coordinates"": [11.35968114641766, 44.47974076830622], ""type"": ""Point""}"
5938;44.48398146656349, 11.355472637484285;"{""coordinates"": [11.355472637484285, 44.48398146656349], ""type"": ""Point""}"
5639;44.48282009057881, 11.3547947747833;"{""coordinates"": [11.3547947747833, 44.48282009057881], ""type"": ""Point""}"
6307;44.48235067658092, 11.357174268778834;"{""coordinates"": [11.357174268778834, 44.48235067658092], ""type"": ""Point""}"
38;44.491375335642054, 11.337660126326004;"{""coordinates"": [11.337660126326004, 44.491375335642054], ""type"": ""Point""}"
29;44.49157789485933, 11.336418700873356;"{""coordinates"": [11.336418700873356, 44.49157789485933], ""type"": ""Point""}"
9;44.49007439052171, 11.332273776725717;"{""coordinates"": [11.332273776725717, 44.49007439052171], ""type"": ""Point""}"
35;44.49134713820345, 11.340127356753412;"{""coordinates"": [11.340127356753412, 44.49134713820345], ""type"": ""Point""}"
36;44.49011038167737, 11.339965680280692;"{""coordinates"": [11.339965680280692, 44.49011038167737], ""type"": ""Point""}"
41;44.49361004748688, 11.334206141453013;"{""coordinates"": [11.334206141453013, 44.49361004748688], ""type"": ""Point""}"
6435;44.486642114527676, 11.366347714226722;"{""coordinates"": [11.366347714226722, 44.486642114527676], ""type"": ""Point""}"
6460;44.484336676735865, 11.372464960244182;"{""coordinates"": [11.372464960244182, 44.484336676735865], ""type"": ""Point""}"
13545;44.486490659959074, 11.377243350446918;"{""coordinates"": [11.377243350446918, 44.486490659959074], ""type"": ""Point""}"
6418;44.48463120563678, 11.378797607479536;"{""coordinates"": [11.378797607479536, 44.48463120563678], ""type"": ""Point""}"
6416;44.484432843929746, 11.379486496578306;"{""coordinates"": [11.379486496578306, 44.484432843929746], ""type"": ""Point""}"
6417;44.48196404689386, 11.378662190741277;"{""coordinates"": [11.378662190741277, 44.48196404689386], ""type"": ""Point""}"
6445;44.48857445034947, 11.371090047679852;"{""coordinates"": [11.371090047679852, 44.48857445034947], ""type"": ""Point""}"
6442;44.488647763896864, 11.368622362494017;"{""coordinates"": [11.368622362494017, 44.488647763896864], ""type"": ""Point""}"
6470;44.49019629112214, 11.357651263790563;"{""coordinates"": [11.357651263790563, 44.49019629112214], ""type"": ""Point""}"
6477;44.49141350531959, 11.353743703628005;"{""coordinates"": [11.353743703628005, 44.49141350531959], ""type"": ""Point""}"
6160;44.49367727011843, 11.344344220226791;"{""coordinates"": [11.344344220226791, 44.49367727011843], ""type"": ""Point""}"
6149;44.49343347556586, 11.34368987067917;"{""coordinates"": [11.34368987067917, 44.49343347556586], ""type"": ""Point""}"
6146;44.495152557337654, 11.345606481899557;"{""coordinates"": [11.345606481899557, 44.495152557337654], ""type"": ""Point""}"
6039;44.493517556337096, 11.32722127409593;"{""coordinates"": [11.32722127409593, 44.493517556337096], ""type"": ""Point""}"
6037;44.49497552367871, 11.32620016240779;"{""coordinates"": [11.32620016240779, 44.49497552367871], ""type"": ""Point""}"
16679;44.49474513202363, 11.32819208928201;"{""coordinates"": [11.32819208928201, 44.49474513202363], ""type"": ""Point""}"
60;44.49546154392396, 11.329708073209392;"{""coordinates"": [11.329708073209392, 44.49546154392396], ""type"": ""Point""}"
6038;44.49481609256583, 11.327578784907995;"{""coordinates"": [11.327578784907995, 44.49481609256583], ""type"": ""Point""}"
56;44.494614964565464, 11.32886906702988;"{""coordinates"": [11.32886906702988, 44.494614964565464], ""type"": ""Point""}"
74;44.49520273295795, 11.334581562571566;"{""coordinates"": [11.334581562571566, 44.49520273295795], ""type"": ""Point""}"
71;44.49555649700822, 11.3355727550506;"{""coordinates"": [11.3355727550506, 44.49555649700822], ""type"": ""Point""}"
73;44.49518952536434, 11.335532239511775;"{""coordinates"": [11.335532239511775, 44.49518952536434], ""type"": ""Point""}"
22;44.494358120344295, 11.336854483211598;"{""coordinates"": [11.336854483211598, 44.494358120344295], ""type"": ""Point""}"
77;44.494421707896144, 11.336520121102563;"{""coordinates"": [11.336520121102563, 44.494421707896144], ""type"": ""Point""}"
84;44.49546349272253, 11.339002264126053;"{""coordinates"": [11.339002264126053, 44.49546349272253], ""type"": ""Point""}"
79;44.49552353498325, 11.3386000122176;"{""coordinates"": [11.3386000122176, 44.49552353498325], ""type"": ""Point""}"
88;44.49566292824381, 11.337691202507077;"{""coordinates"": [11.337691202507077, 44.49566292824381], ""type"": ""Point""}"
76;44.49542614282304, 11.336899298167975;"{""coordinates"": [11.336899298167975, 44.49542614282304], ""type"": ""Point""}"
100;44.49653302072528, 11.337347309952076;"{""coordinates"": [11.337347309952076, 44.49653302072528], ""type"": ""Point""}"
82;44.495503602543785, 11.337668243570485;"{""coordinates"": [11.337668243570485, 44.495503602543785], ""type"": ""Point""}"
114;44.49767955748032, 11.337890494877604;"{""coordinates"": [11.337890494877604, 44.49767955748032], ""type"": ""Point""}"
109;44.49767071310579, 11.338209352718867;"{""coordinates"": [11.338209352718867, 44.49767071310579], ""type"": ""Point""}"
103;44.49627943127567, 11.339230360694176;"{""coordinates"": [11.339230360694176, 44.49627943127567], ""type"": ""Point""}"
102;44.496950449691134, 11.339405548833398;"{""coordinates"": [11.339405548833398, 44.496950449691134], ""type"": ""Point""}"
110;44.49792132740371, 11.338872025389664;"{""coordinates"": [11.338872025389664, 44.49792132740371], ""type"": ""Point""}"
13;44.49382163618931, 11.333017942883675;"{""coordinates"": [11.333017942883675, 44.49382163618931], ""type"": ""Point""}"
93;44.49838468098853, 11.334348525769764;"{""coordinates"": [11.334348525769764, 44.49838468098853], ""type"": ""Point""}"
20;44.494078834372345, 11.339611480663137;"{""coordinates"": [11.339611480663137, 44.494078834372345], ""type"": ""Point""}"
61;44.49892380476005, 11.331486303448596;"{""coordinates"": [11.331486303448596, 44.49892380476005], ""type"": ""Point""}"
15608;44.48865481983745, 11.33988466466078;"{""coordinates"": [11.33988466466078, 44.48865481983745], ""type"": ""Point""}"
6045;44.48893073084264, 11.340301013531239;"{""coordinates"": [11.340301013531239, 44.48893073084264], ""type"": ""Point""}"
6057;44.48991430286753, 11.342407280678305;"{""coordinates"": [11.342407280678305, 44.48991430286753], ""type"": ""Point""}"
6052;44.489883548033895, 11.342707887380918;"{""coordinates"": [11.342707887380918, 44.489883548033895], ""type"": ""Point""}"
6043;44.49052600798969, 11.342900499962928;"{""coordinates"": [11.342900499962928, 44.49052600798969], ""type"": ""Point""}"
6048;44.490013657238386, 11.344642327507477;"{""coordinates"": [11.344642327507477, 44.490013657238386], ""type"": ""Point""}"
16150;44.49064322310594, 11.344160733061429;"{""coordinates"": [11.344160733061429, 44.49064322310594], ""type"": ""Point""}"
125;44.49195794392656, 11.340171364955104;"{""coordinates"": [11.340171364955104, 44.49195794392656], ""type"": ""Point""}"
129;44.492212643261496, 11.341885262101874;"{""coordinates"": [11.341885262101874, 44.492212643261496], ""type"": ""Point""}"
134;44.49268699131176, 11.340640775137192;"{""coordinates"": [11.340640775137192, 44.49268699131176], ""type"": ""Point""}"
131;44.49331496960461, 11.340629659360912;"{""coordinates"": [11.340629659360912, 44.49331496960461], ""type"": ""Point""}"
132;44.49352737634803, 11.339440831081607;"{""coordinates"": [11.339440831081607, 44.49352737634803], ""type"": ""Point""}"
